Date,Symbol,Prev Close,Open,High,Prev Low,Prev high,Previous VWAP,Previous Volume,Previous Percentage,PreviousValue change,Previous Nifty 50,Previous Nifty 100,Previous Sensex,Buy Don?t buy
3/18/2011,RELIANCE,1047.1,1035,1048.8,1028,1030.85,1037.51,2830269,-1.58,-16.25,5455.4,5356.05,18227.16,NO
3/21/2011,RELIANCE,1030.85,999.05,1035,986.6,993,999.11,9258050,-3.81,-37.85,5475.35,5371,18251.18,NO
3/22/2011,RELIANCE,993,993.05,1000,981.1,990.3,991.16,3553732,-0.27,-2.7,5408.75,5307.9,17984.72,YES
3/23/2011,RELIANCE,990.3,999.85,1004.9,992.15,999.65,1000.12,2238646,0.94,9.35,5390.85,5290.05,17929.09,YES
3/24/2011,RELIANCE,999.65,1015.9,1016.65,995.8,1013.25,1008.42,2610417,1.34,13.6,5411.4,5313.35,17972.04,YES
3/25/2011,RELIANCE,1013.25,1023.9,1021.95,1003.85,1010.3,1011.91,2567887,-0.29,-2.95,5501.8,5394.35,18286.42,YES
3/28/2011,RELIANCE,1010.3,1026.25,1029.95,1010,1026.6,1019.91,3518453,1.59,16.3,5588.65,5471.95,18480.69,YES
3/29/2011,RELIANCE,1026.6,1020,1036.35,1014.3,1025.7,1023.95,4361259,-0.09,-0.9,5645.25,5529.3,18799.71,NO
3/30/2011,RELIANCE,1025.7,1027.5,1032,1019.6,1022.75,1026.91,4137811,-0.29,-2.95,5686.5,5570.1,18949.57,YES
3/31/2011,RELIANCE,1022.75,1034.5,1037.5,1024.1,1032.5,1031.87,2801842,0.94,9.75,5755.8,5631.75,19178.77,YES
4/1/2011,RELIANCE,1032.5,1049.05,1054.9,1034.5,1049.1,1045.53,7201048,1.58,16.6,5803.05,5685.75,19339.75,YES
4/4/2011,RELIANCE,1049.1,1040,1065.9,1031,1036.4,1044.03,4291094,-1.23,-12.7,5835,5712.75,19463.11,NO
4/5/2011,RELIANCE,1036.4,1052.5,1054.8,1029,1050.65,1042.46,2997121,1.36,14.25,5842,5724.85,19473.93,YES
